Range,Host,Open Ports,Avg Latency (ms)
10.10.1.0/24,10.10.1.1,22;8443,39.92
10.10.1.0/24,10.10.1.100,,37.46
10.10.1.0/24,10.10.1.104,,34.74
10.10.1.0/24,10.10.1.111,80;443;8080,34.86
10.10.1.0/24,10.10.1.130,3389,33.92
10.10.1.0/24,10.10.1.131,3389,35.07
10.10.1.0/24,10.10.1.132,3389,34.68
10.10.1.0/24,10.10.1.133,3389,35.93
10.10.1.0/24,10.10.1.140,3389,33.44
10.10.1.0/24,10.10.1.141,3389,35.44
10.10.1.0/24,10.10.1.142,3389,36.95
10.10.1.0/24,10.10.1.143,3389,33.06
10.10.1.0/24,10.10.1.155,3389,33.48
10.10.1.0/24,10.10.1.156,3389,34.15
10.10.1.0/24,10.10.1.157,3389,34.53
10.10.1.0/24,10.10.1.158,3389,36.93
10.10.1.0/24,10.10.1.199,3389,38.05
10.10.1.0/24,10.10.1.200,3389,35.67
10.10.1.0/24,10.10.1.201,3389,35.29
10.10.1.0/24,10.10.1.202,3389,37.44
10.10.1.0/24,10.10.1.215,80;443;8080,35.12
10.10.1.0/24,10.10.1.250,22;80;443,35.00
10.10.1.0/24,10.10.1.27,3389,35.02
10.10.1.0/24,10.10.1.28,3389,34.92
10.10.1.0/24,10.10.1.29,3389,35.26
10.10.1.0/24,10.10.1.80,80;443;8080,36.26
10.10.1.0/24,10.10.1.92,80;443;8080,34.85
